Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676049989.245608,0,62789,0,GPS1_FRAME,1.0394,-11.918041666666666,2.4,-11.3,175206.7988743942,115035.18672213648,172629.0,29,N
1676049990.2455714,0,62790,0,GPS1_FRAME,1.0394,-11.918041666666666,2.4,-11.3,175206.7988743942,115035.18672213648,172630.0,29,N
1676049991.2449965,0,62791,0,GPS1_FRAME,1.0393966666666665,-11.918041666666666,2.4,-11.2,175206.79853326787,115034.8178061782,172631.0,29,N
1676049992.24492,0,62792,0,GPS1_FRAME,1.0393883333333334,-11.918036666666668,2.4,-11.1,175207.35469096113,115033.89500123585,172632.0,29,N
1676049993.2588918,0,62793,0,GPS1_FRAME,1.0393766666666666,-11.918026666666666,2.4,-9.6,175208.4675180473,115032.60276530858,172633.0,29,N
1676049994.2419834,0,62794,0,GPS1_FRAME,1.0393700000000001,-11.918021666666668,2.4,-9.4,175209.0238463147,115031.8644183671,172634.0,29,N
1676049995.258151,0,62795,0,GPS1_FRAME,1.0393649999999999,-11.918016666666666,2.4,-8.9,175209.58034514228,115031.31052940809,172635.0,29,N
1676049996.2582536,0,62796,0,GPS1_FRAME,1.0393583333333334,-11.918011666666667,2.4,-8.3,175210.13667341677,115030.57218248078,172636.0,29,N
1676049997.260069,0,62797,0,GPS1_FRAME,1.0393516666666667,-11.918006666666667,2.4,-7.8,175210.69300169538,115029.83383556099,172637.0,29,N
1676049998.2593398,0,62798,0,GPS1_FRAME,1.0393466666666666,-11.918003333333333,2.4,-7.2,175211.06383036694,115029.28011829437,172638.0,29,N
1676049999.2429936,0,62799,0,GPS1_FRAME,1.03934,-11.918000000000001,2.4,-6.9,175211.4344884897,115028.54194305927,172639.0,29,N
1676050000.2601752,0,62800,0,GPS1_FRAME,1.0393333333333332,-11.917996666666665,2.4,-6.6,175211.80514661735,115027.80376782898,172640.0,29,N
1676050001.2604363,0,62801,0,GPS1_FRAME,1.039325,-11.91799,2.4,-6.2,175212.54697452736,115026.88079129448,172641.0,29,N
1676050002.2594638,0,62802,0,GPS1_FRAME,1.0393183333333333,-11.917981666666666,2.4,-5.9,175213.47464315774,115026.14210107473,172642.0,29,N
1676050003.2612567,0,62803,0,GPS1_FRAME,1.0393116666666666,-11.917973333333332,2.4,-5.5,175214.40231178654,115025.40341086844,172643.0,29,N
1676050004.2434247,0,62804,0,GPS1_FRAME,1.039305,-11.917965,2.4,-5.1,175215.3299804167,115024.66472067562,172644.0,29,N
1676050005.243736,0,62805,0,GPS1_FRAME,1.0392983333333334,-11.917955000000001,2.4,-4.8,175216.44331920682,115023.92585883391,172645.0,29,N
1676050006.243622,0,62806,0,GPS1_FRAME,1.0392933333333334,-11.917945,2.4,-4.6,175217.5568285362,115023.37145497205,172646.0,29,N
1676050007.242859,0,62807,0,GPS1_FRAME,1.0392866666666667,-11.917935,2.4,-4.2,175218.67016732565,115022.63259316217,172647.0,29,N
1676050008.2603438,0,62808,0,GPS1_FRAME,1.03928,-11.917926666666666,2.4,-3.8,175219.59783595678,115021.89390302676,172648.0,29,N
1676050009.244093,0,62809,0,GPS1_FRAME,1.0392733333333333,-11.917916666666667,2.4,-3.4,175220.71117474284,115021.15504124877,172649.0,29,N
1676050010.2432182,0,62810,0,GPS1_FRAME,1.0392666666666668,-11.917906666666665,2.4,-3.0,175221.824513531,115020.41617948758,172650.0,29,N
1676050011.259878,0,62811,0,GPS1_FRAME,1.0392599999999999,-11.917896666666667,2.4,-2.6,175222.93785231526,115019.67731774307,172651.0,29,N
1676050012.2423854,0,62812,0,GPS1_FRAME,1.039255,-11.917886666666668,2.4,-1.9,175224.0513616319,115019.12291396887,172652.0,29,N
1676050013.243115,0,62813,0,GPS1_FRAME,1.03925,-11.917876666666666,2.4,-1.2,175225.16487094178,115018.5685102081,172653.0,29,N
1676050014.2443094,0,62814,0,GPS1_FRAME,1.039245,-11.917866666666667,2.4,-0.5,175226.27838025044,115018.01410646079,172654.0,29,N
1676050015.2424407,0,62815,0,GPS1_FRAME,1.03924,-11.917855,2.4,0.2,175227.57755970053,115017.45953108004,172655.0,29,N
1676050016.2419868,0,62816,0,GPS1_FRAME,1.0392350000000001,-11.917845,2.4,0.8,175228.69106899702,115016.90512736107,172656.0,29,N
1676050017.242352,0,62817,0,GPS1_FRAME,1.0392283333333334,-11.917835,2.4,1.5,175229.80440776626,115016.16626571072,172657.0,29,N
1676050018.2410932,0,62818,0,GPS1_FRAME,1.0392216666666667,-11.917824999999999,2.4,2.0,175230.91774653748,115015.42740407711,172658.0,29,N
