Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,raw_IMU
1678914501.4070837,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.31595749511859145,-0.04927052534486163,-0.9399627186704992,0.11921981429355841,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001057,-0.001572,0.000435,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.958,-0.169,-7.839,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2893,0.0699,0.7421,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.963,-037.281,+001.245,+00.2893,+00.0699,+00.7421,-05.958,-00.169,-07.839,+00.001057,-00.001572,+00.000435*61
"
1678914502.4077425,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.31596509486998764,-0.049276950960282895,-0.9399605497955579,0.1192141172675875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000192,0.000238,-0.000705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.975,-0.153,-7.846,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.288,0.0749,0.7474,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.964,-037.282,+001.246,+00.2880,+00.0749,+00.7474,-05.975,-00.153,-07.846,+00.000192,+00.000238,-00.000705*67
"
1678914503.407557,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3159815150509533,-0.04927891122351353,-0.9399549910805689,0.11921361414476381,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000982,-0.000764,-0.000578,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.952,-0.153,-7.845,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2887,0.0714,0.7474,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.964,-037.284,+001.246,+00.2887,+00.0714,+00.7474,-05.952,-00.153,-07.845,+00.000982,-00.000764,-00.000578*63
"
1678914504.4091222,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3159895449518588,-0.04928257892762034,-0.9399538621023859,0.11919971482419296,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000597,-0.000806,-0.000521,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.951,-0.17,-7.868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2866,0.0714,0.7466,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.966,-037.285,+001.247,+00.2866,+00.0714,+00.7466,-05.951,-00.170,-07.868,+00.000597,-00.000806,-00.000521*6F
"
1678914505.4099548,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3159801147625278,-0.04929248941403163,-0.9399578616958384,0.11918907583421652,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000672,4.1e-05,-0.000376,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.962,-0.178,-7.865,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2893,0.072,0.7451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.968,-037.284,+001.249,+00.2893,+00.0720,+00.7451,-05.962,-00.178,-07.865,+00.000672,+00.000041,-00.000376*63
"
1678914506.4115903,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3159878946790041,-0.04929622669712164,-0.9399540420420393,0.11919702722211198,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000297,0.000743,-0.000333,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.982,-0.161,-7.822,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2866,0.0735,0.7435,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.967,-037.285,+001.249,+00.2866,+00.0735,+00.7435,-05.982,-00.161,-07.822,+00.000297,+00.000743,-00.000333*6F
"
1678914507.4129143,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.31599635524573877,-0.04929713640359974,-0.939953952552652,0.1191749256113073,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001888,-0.000882,0.00135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.961,-0.178,-7.874,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.29,0.0741,0.7436,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.970,-037.286,+001.250,+00.2900,+00.0741,+00.7436,-05.961,-00.178,-07.874,-00.001888,-00.000882,+00.001350*60
"
1678914508.4133043,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3160016245245994,-0.049320036506743034,-0.9399482321097781,0.11919659496181283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001621,-0.001474,-0.000585,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.981,-0.186,-7.828,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2887,0.0749,0.7459,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.968,-037.287,+001.252,+00.2887,+00.0749,+00.7459,-05.981,-00.186,-07.828,+00.001621,-00.001474,-00.000585*65
"
1678914509.4163795,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3160094041350643,-0.049323773893504466,-0.9399444121499676,0.11920454645337972,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00027,-0.001688,-0.000302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.953,-0.19,-7.862,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.288,0.0749,0.7443,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.967,-037.288,+001.252,+00.2880,+00.0749,+00.7443,-05.953,-00.190,-07.862,-00.000270,-00.001688,-00.000302*60
"
1678914510.4175162,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.31600836386712206,-0.04933197645401512,-0.9399439816830502,0.1192073041511254,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001209,-0.00148,-0.001529,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.963,-0.186,-7.829,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2873,0.0749,0.7435,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.967,-037.288,+001.253,+00.2873,+00.0749,+00.7435,-05.963,-00.186,-07.829,+00.001209,-00.001480,-00.001529*6A
"
1678914511.4186182,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.31601076269507383,-0.04937941360658126,-0.9399396578958128,0.11921539702341503,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001366,-0.001579,-0.003122,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.941,-0.162,-7.876,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2893,0.0699,0.7459,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.968,-037.289,+001.259,+00.2893,+00.0699,+00.7459,-05.941,-00.162,-07.876,+00.001366,-00.001579,-00.003122*64
"
1678914512.4206815,0,1678914335,429456949,IMU1_Frame,0,0,0,,-0.3160108369441069,-0.04938203011393073,-0.9399439970181925,0.11917989975317082,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000779,0.000583,-5.2e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.955,-0.197,-7.835,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2873,0.0721,0.7451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-165.973,-037.289,+001.261,+00.2873,+00.0721,+00.7451,-05.955,-00.197,-07.835,-00.000779,+00.000583,-00.000052*63
"
